duracion_dias,fecha_inicio_opt,banda,rango_prob,n_escenarios,afluente_medio_m3s,gen_total_GWh,vert_ralco_GWh,vert_pangue_GWh,vert_total_GWh
120,25-Jan,1,0-20%,14,375.83,5904.01,655.89,422.61,1078.5
120,25-Jan,2,20-40%,13,315.69,5491.87,365.81,133.17,498.98
120,25-Jan,3,40-60%,13,261.44,4870.89,210.58,30.73,241.31
120,25-Jan,4,60-80%,13,230.1,4307.94,164.73,4.97,169.7
120,25-Jan,5,80-100%,13,159.84,3001.37,116.14,0.0,116.14
150,15-Dec,1,0-20%,14,375.83,5496.69,924.66,446.42,1371.07
150,15-Dec,2,20-40%,13,315.69,5087.56,565.57,176.59,742.15
150,15-Dec,3,40-60%,13,261.44,4557.82,343.75,37.22,380.96
150,15-Dec,4,60-80%,13,230.1,4070.35,271.51,7.5,279.01
150,15-Dec,5,80-100%,13,159.84,2869.29,188.86,0.0,188.86
180,27-Nov,1,0-20%,14,375.83,5117.52,1232.82,450.18,1682.99
180,27-Nov,2,20-40%,13,315.69,4735.82,835.08,200.75,1035.83
180,27-Nov,3,40-60%,13,261.44,4231.05,435.65,77.85,513.5
180,27-Nov,4,60-80%,13,230.1,3806.78,325.05,19.51,344.56
180,27-Nov,5,80-100%,13,159.84,2745.55,218.2,4.75,222.95
