duracion_dias,inicio_dia,fecha_inicio,vert_esperado_GWh
120,1,01-Jan,537.36
120,16,16-Jan,493.76
120,19,19-Jan,490.65
120,22,22-Jan,488.45
120,25,25-Jan,487.63
120,28,28-Jan,488.88
120,31,31-Jan,490.46
120,34,03-Feb,493.16
120,37,06-Feb,496.53
120,40,09-Feb,500.03
120,43,12-Feb,504.52
120,46,15-Feb,510.03
120,61,02-Mar,557.29
120,76,17-Mar,671.46
120,91,01-Apr,798.19
120,106,16-Apr,931.89
120,121,01-May,1065.51
120,136,16-May,1190.16
120,151,31-May,1285.77
120,166,15-Jun,1353.85
120,181,30-Jun,1400.15
120,196,15-Jul,1437.18
120,211,30-Jul,1452.78
120,226,14-Aug,1432.11
120,241,29-Aug,1371.32
120,256,13-Sep,1277.15
120,271,28-Sep,1150.61
120,286,13-Oct,1002.01
120,301,28-Oct,843.28
120,316,12-Nov,689.83
120,331,27-Nov,583.83
120,346,12-Dec,527.46
120,361,27-Dec,522.29
150,1,01-Jan,720.18
150,16,16-Jan,712.81
150,31,31-Jan,744.5
150,46,15-Feb,787.06
150,61,02-Mar,844.14
150,76,17-Mar,977.07
150,91,01-Apr,1122.03
150,106,16-Apr,1270.12
150,121,01-May,1420.9
150,136,16-May,1564.12
150,151,31-May,1671.39
150,166,15-Jun,1739.59
150,181,30-Jun,1764.81
150,196,15-Jul,1753.87
150,211,30-Jul,1706.22
150,226,14-Aug,1620.2
150,241,29-Aug,1502.38
150,256,13-Sep,1371.49
150,271,28-Sep,1223.72
150,286,13-Oct,1061.78
150,301,28-Oct,899.93
150,316,12-Nov,756.94
150,331,27-Nov,674.3
150,334,30-Nov,665.5
150,337,03-Dec,657.93
150,340,06-Dec,652.66
150,343,09-Dec,648.68
150,346,12-Dec,646.59
150,349,15-Dec,646.18
150,352,18-Dec,649.16
150,355,21-Dec,657.58
150,358,24-Dec,669.24
150,361,27-Dec,685.19
180,1,01-Jan,1021.58
180,16,16-Jan,1029.78
180,31,31-Jan,1058.24
180,46,15-Feb,1100.98
180,61,02-Mar,1167.97
180,76,17-Mar,1315.31
180,91,01-Apr,1477.42
180,106,16-Apr,1644.33
180,121,01-May,1806.52
180,136,16-May,1949.97
180,151,31-May,2036.19
180,166,15-Jun,2056.29
180,181,30-Jun,2018.25
180,196,15-Jul,1941.96
180,211,30-Jul,1837.28
180,226,14-Aug,1714.53
180,241,29-Aug,1575.49
180,256,13-Sep,1431.26
180,271,28-Sep,1280.38
180,286,13-Oct,1129.12
180,301,28-Oct,990.75
180,316,12-Nov,879.4
180,319,15-Nov,863.05
180,322,18-Nov,851.09
180,325,21-Nov,843.98
180,328,24-Nov,839.93
180,331,27-Nov,839.51
180,334,30-Nov,842.0
180,337,03-Dec,845.42
180,340,06-Dec,853.35
180,343,09-Dec,862.96
180,346,12-Dec,873.97
180,361,27-Dec,970.57
