dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
1,01-Jan,724.42,509.962,724.36,510.0,724.22,510.0,724.24,509.988,724.14,510.0
2,02-Jan,724.03,508.598,723.96,508.168,723.82,507.484,723.84,507.546,723.74,507.21
3,03-Jan,723.64,507.732,723.56,507.394,723.43,507.141,723.44,507.229,723.34,507.0
4,04-Jan,723.24,507.58,723.17,507.287,723.03,507.091,723.04,507.231,722.94,507.0
5,05-Jan,722.85,507.52,722.77,507.276,722.63,507.037,722.64,507.231,722.55,507.0
6,06-Jan,722.45,507.565,722.37,507.289,722.23,507.0,722.25,507.229,722.15,507.0
7,07-Jan,722.06,507.643,721.97,507.302,721.83,507.0,721.85,507.226,721.75,507.0
8,08-Jan,721.66,507.531,721.57,507.198,721.43,507.0,721.45,507.112,721.35,507.0
9,09-Jan,721.26,507.409,721.17,507.163,721.03,507.0,721.05,507.0,720.95,507.0
10,10-Jan,720.86,507.279,720.77,507.125,720.63,507.0,720.65,507.0,720.55,507.0
11,11-Jan,720.46,507.174,720.37,507.084,720.23,507.0,720.25,507.0,720.15,507.0
12,12-Jan,720.06,507.096,719.98,507.04,719.83,507.0,719.85,507.0,719.75,507.0
13,13-Jan,719.66,507.039,719.58,507.0,719.43,507.0,719.45,507.0,719.35,507.0
14,14-Jan,719.26,507.001,719.18,507.0,719.04,507.0,719.05,507.0,718.95,507.0
15,15-Jan,718.86,507.0,718.78,507.0,718.64,507.0,718.65,507.0,718.55,507.0
16,16-Jan,718.46,507.0,718.38,507.0,718.24,507.0,718.25,507.0,718.16,507.0
17,17-Jan,718.06,507.0,717.98,507.0,717.84,507.0,717.85,507.0,717.76,507.0
18,18-Jan,717.66,507.0,717.58,507.0,717.44,507.0,717.46,507.0,717.36,507.0
19,19-Jan,717.27,507.0,717.18,507.0,717.04,507.0,717.06,507.0,716.96,507.0
20,20-Jan,716.87,507.0,716.78,507.0,716.64,507.0,716.66,507.0,716.56,507.0
21,21-Jan,716.47,507.0,716.38,507.0,716.24,507.0,716.26,507.0,716.16,507.0
22,22-Jan,716.07,507.0,715.98,507.0,715.84,507.0,715.86,507.0,715.76,507.0
23,23-Jan,715.67,507.0,715.58,507.0,715.44,507.0,715.46,507.0,715.36,507.034
24,24-Jan,715.27,507.0,715.18,507.0,715.04,507.0,715.06,507.075,714.96,507.381
25,25-Jan,715.27,507.0,715.18,507.0,715.04,507.0,715.06,507.094,714.96,507.39
26,26-Jan,715.27,507.0,715.18,507.0,715.04,507.0,715.06,507.112,714.96,507.398
27,27-Jan,715.27,507.0,715.18,507.0,715.04,507.0,715.06,507.131,714.96,507.407
28,28-Jan,715.27,507.0,715.18,507.0,715.04,507.0,715.06,507.15,714.96,507.416
29,29-Jan,715.27,507.0,715.18,507.0,715.04,507.0,715.06,507.179,714.96,507.424
30,30-Jan,715.27,507.0,715.18,507.0,715.04,507.003,715.06,507.227,714.96,507.433
31,31-Jan,715.27,507.0,715.18,507.0,715.04,507.03,715.06,507.275,714.96,507.442
32,01-Feb,715.27,507.0,715.18,507.0,715.04,507.045,715.06,507.293,714.96,507.439
33,02-Feb,715.26,507.0,715.15,507.0,715.04,507.06,715.06,507.312,714.96,507.436
34,03-Feb,715.23,507.0,715.15,507.0,715.04,507.075,715.06,507.33,714.96,507.433
